p.value	p.adjust	chi_square_statistic	Gene	n_cond1	n_cond2	n_samples_cond1	n_samples_cond2	n_possible_sites_cond1	n_possible_sites_cond2	p.adjust2
3.50E-10	7.08E-09	39.375	RP11-463D19.2	0	15	22	8	242	88	5.96E-06
3.52E-10	7.10E-09	39.36336275	GNPNAT1	1	16	22	8	154	56	5.97E-06
3.57E-10	7.19E-09	39.3340441	FBXO3	2	17	22	8	132	48	6.04E-06
3.61E-10	7.23E-09	39.315143	SMC5	3	19	22	8	286	104	6.07E-06
3.79E-10	7.57E-09	39.21936759	CCDC28A	0	15	22	8	264	96	6.35E-06
3.93E-10	7.83E-09	39.14797386	GS1-124K5.11	3	19	22	8	308	112	6.55E-06
4.05E-10	8.05E-09	39.08863636	TNFAIP8L1	0	15	22	8	286	104	6.73E-06
4.38E-10	8.65E-09	38.93467783	CEP95	1	16	22	8	176	64	7.22E-06
4.38E-10	8.65E-09	38.93467783	RSRC2	1	16	22	8	176	64	7.22E-06
5.01E-10	9.86E-09	38.6729295	TPM4	3	19	22	8	396	144	8.21E-06
6.49E-10	1.27E-08	38.16898827	PSTPIP2	15	30	22	8	374	136	1.06E-05
6.58E-10	1.29E-08	38.1416792	PGPEP1	1	16	22	8	242	88	1.07E-05
6.89E-10	1.34E-08	38.05047507	CDK6	8	24	22	8	396	144	1.12E-05
7.66E-10	1.49E-08	37.84530538	C11orf54	2	17	22	8	198	72	1.23E-05
7.92E-10	1.53E-08	37.77973909	UBE3D	0	14	22	8	132	48	1.27E-05
7.92E-10	1.53E-08	37.77973909	GSR	0	14	22	8	132	48	1.27E-05
8.58E-10	1.65E-08	37.62361872	RNF24	9	24	22	8	220	80	1.36E-05
9.06E-10	1.74E-08	37.51753928	RPS19	0	13	22	8	66	24	1.43E-05
9.67E-10	1.85E-08	37.39115553	DCAF12	3	18	22	8	198	72	1.52E-05
9.97E-10	1.89E-08	37.32998029	GTF2F1	0	14	22	8	154	56	1.56E-05
9.99E-10	1.89E-08	37.32708983	ACYP2	99	0	22	8	1012	368	1.56E-05
9.97E-10	1.89E-08	37.32998029	METTL16	0	14	22	8	154	56	1.56E-05
1.02E-09	1.93E-08	37.28442807	PDZD8	16	31	22	8	594	216	1.58E-05
1.18E-09	2.23E-08	36.99962648	UNG	0	14	22	8	176	64	1.82E-05
1.19E-09	2.23E-08	36.98389681	CDC123	2	17	22	8	286	104	1.82E-05
1.19E-09	2.23E-08	36.98389681	TAOK1	2	17	22	8	286	104	1.82E-05
1.25E-09	2.34E-08	36.88720457	USP39	23	36	22	8	528	192	1.91E-05
1.28E-09	2.38E-08	36.84910034	YWHAE	2	17	22	8	308	112	1.94E-05
1.29E-09	2.40E-08	36.82645631	DNAJA1	3	18	22	8	242	88	1.95E-05
1.35E-09	2.49E-08	36.74669935	POLR2G	0	14	22	8	198	72	2.02E-05
1.49E-09	2.75E-08	36.54683385	SUPV3L1	0	14	22	8	220	80	2.23E-05
1.57E-09	2.88E-08	36.44877049	EIF3E	5	20	22	8	242	88	2.33E-05
1.57E-09	2.88E-08	36.44539911	ZNF557	3	18	22	8	286	104	2.33E-05
1.76E-09	3.23E-08	36.21826372	RP11-452L6.1	6	21	22	8	264	96	2.61E-05
2.01E-09	3.66E-08	35.96381762	HPS4	3	18	22	8	374	136	2.96E-05
2.12E-09	3.84E-08	35.85975548	BRI3BP	1	15	22	8	176	64	3.10E-05
2.12E-09	3.84E-08	35.85975548	ISCA1	1	15	22	8	176	64	3.10E-05
2.45E-09	4.43E-08	35.5773952	NUPL1	1	15	22	8	198	72	3.57E-05
2.55E-09	4.59E-08	35.5011038	TEC	143	9	22	8	1276	464	3.69E-05
2.77E-09	4.97E-08	35.34007598	G3BP1	8	23	22	8	418	152	3.99E-05
3.01E-09	5.40E-08	35.17453722	RALGAPA1	1	15	22	8	242	88	4.33E-05
3.14E-09	5.62E-08	35.09227987	KIAA1841	108	3	22	8	770	280	4.50E-05
3.19E-09	5.66E-08	35.06506744	SIRT1	8	23	22	8	484	176	4.53E-05
3.18E-09	5.66E-08	35.06916996	ZNF254	10	25	22	8	616	224	4.53E-05
3.25E-09	5.76E-08	35.02580768	RP11-452L6.5	1	15	22	8	264	96	4.60E-05
3.61E-09	6.38E-08	34.82121227	6-Sep	7	22	22	8	528	192	5.09E-05
4.06E-09	7.12E-08	34.59701227	LYRM2	0	13	22	8	132	48	5.67E-05
4.05E-09	7.12E-08	34.60166828	SMIM7	2	16	22	8	220	80	5.67E-05
4.41E-09	7.73E-08	34.43267045	COMT	3	17	22	8	198	72	6.13E-05
4.65E-09	8.11E-08	34.33173766	SNRNP40	32	41	22	8	550	200	6.43E-05
4.93E-09	8.56E-08	34.21650367	NLRP2	0	13	22	8	154	56	6.78E-05
4.93E-09	8.56E-08	34.21650367	MIS12	0	13	22	8	154	56	6.78E-05
5.56E-09	9.63E-08	33.98193691	EIF3A	2	16	22	8	308	112	7.61E-05
5.69E-09	9.83E-08	33.93657004	EIF3I	0	13	22	8	176	64	7.76E-05
5.86E-09	1.01E-07	33.88080019	POLA2	2	16	22	8	330	120	7.93E-05
5.86E-09	1.01E-07	33.88080019	PISD	2	16	22	8	330	120	7.93E-05
5.88E-09	1.01E-07	33.87292395	COPB1	0	12	22	8	66	24	7.93E-05
6.36E-09	1.09E-07	33.72199056	ISG20	0	13	22	8	198	72	8.52E-05
6.75E-09	1.15E-07	33.60545915	ZCCHC7	3	17	22	8	286	104	9.01E-05
6.90E-09	1.17E-07	33.56404959	MSANTD2	1	14	22	8	132	48	9.17E-05
6.94E-09	1.17E-07	33.5522709	SGPP1	0	13	22	8	220	80	9.19E-05
7.38E-09	1.25E-07	33.43068345	ABO	21	33	22	8	550	200	9.74E-05
7.45E-09	1.25E-07	33.41467484	MRPL52	0	13	22	8	242	88	9.78E-05
8.03E-09	1.35E-07	33.26828063	AC009120.6	3	17	22	8	352	128	0.000105046
8.60E-09	1.44E-07	33.13374126	TCERG1	1	14	22	8	154	56	0.000112123
9.19E-09	1.54E-07	33.00545268	RBM5	149	107	22	8	1628	592	0.000119294
1.12E-08	1.86E-07	32.61860795	HSH2D	8	22	22	8	462	168	0.000144594
1.12E-08	1.86E-07	32.62191547	RCOR1	9	23	22	8	528	192	0.000144594
1.14E-08	1.88E-07	32.59128858	ALDH6A1	0	11	22	8	44	16	0.000145483
1.14E-08	1.88E-07	32.59128858	TAF1D	0	11	22	8	44	16	0.000145483
1.17E-08	1.92E-07	32.54031683	LMO2	13	26	22	8	352	128	0.000148566
1.18E-08	1.95E-07	32.51193165	DNAJB4	2	15	22	8	154	56	0.000150158
1.26E-08	2.07E-07	32.38636364	AK3	1	14	22	8	220	80	0.000159128
1.26E-08	2.07E-07	32.38636364	PPHLN1	1	14	22	8	220	80	0.000159128
1.37E-08	2.23E-07	32.23214286	MED17	1	14	22	8	242	88	0.000171373
1.54E-08	2.51E-07	31.99772727	RSPH3	1	14	22	8	286	104	0.000192592
1.62E-08	2.62E-07	31.90927619	TIAL1	0	12	22	8	110	40	0.000200774
1.73E-08	2.79E-07	31.77943519	ZSCAN30	1	13	22	8	88	32	0.000213814
2.14E-08	3.45E-07	31.36094698	RBM4	2	15	22	8	264	96	0.000263511
2.14E-08	3.45E-07	31.36094698	BZRAP1-AS1	2	15	22	8	264	96	0.000263511
2.41E-08	3.86E-07	31.13571798	RP11-12J10.3	0	12	22	8	154	56	0.000294388
2.68E-08	4.29E-07	30.92933113	KLC1	3	16	22	8	264	96	0.000326142
2.71E-08	4.34E-07	30.90161483	ZNF283	0	12	22	8	176	64	0.000329546
2.74E-08	4.37E-07	30.88172478	PPP1R12A	9	22	22	8	352	128	0.000331648
2.98E-08	4.72E-07	30.72195428	PSMC6	0	12	22	8	198	72	0.000357795
2.98E-08	4.72E-07	30.72319274	SEC14L1	4	17	22	8	264	96	0.000357795
3.03E-08	4.80E-07	30.68508454	NAP1L4	3	16	22	8	308	112	0.000362769
3.21E-08	5.05E-07	30.57748654	STK38	4	17	22	8	286	104	0.000381004
3.20E-08	5.05E-07	30.57972301	ZNF518A	0	12	22	8	220	80	0.000381004
3.31E-08	5.19E-07	30.51713045	GNB4	25	34	22	8	418	152	0.00039101
3.34E-08	5.22E-07	30.50094874	DDX58	2	14	22	8	110	40	0.000392767
3.40E-08	5.30E-07	30.46432783	TM7SF3	0	12	22	8	242	88	0.000397711
3.40E-08	5.30E-07	30.46432783	RPL38	0	12	22	8	242	88	0.000397711
3.44E-08	5.34E-07	30.43933852	NUDT6	1	13	22	8	132	48	0.000399785
3.44E-08	5.34E-07	30.43933852	NOM1	1	13	22	8	132	48	0.000399785
3.66E-08	5.66E-07	30.32227482	ZNF776	0	11	22	8	66	24	0.000422464
3.77E-08	5.81E-07	30.26677968	PHF20	15	27	22	8	528	192	0.000433064
4.07E-08	6.25E-07	30.11763996	FKBP5	16	28	22	8	792	288	0.000465894
4.15E-08	6.37E-07	30.07696545	TRAPPC10	1	13	22	8	154	56	0.000473954
4.44E-08	6.80E-07	29.94693147	5-Mar	15	27	22	8	638	232	0.000504896
5.04E-08	7.68E-07	29.70012626	ADPGK	3	15	22	8	132	48	0.000569854
5.04E-08	7.68E-07	29.70012626	CDK13	3	15	22	8	132	48	0.000569854
5.89E-08	8.95E-07	29.39815178	WWOX	23	33	22	8	990	360	0.000662503
5.94E-08	9.00E-07	29.38412482	CNST	109	5	22	8	1562	568	0.000664784
6.15E-08	9.30E-07	29.31552328	TADA2A	1	13	22	8	242	88	0.00068613
6.19E-08	9.34E-07	29.30225946	C16orf72	0	11	22	8	88	32	0.000688228
7.10E-08	1.07E-06	29.03798808	FAM193A	25	34	22	8	748	272	0.000785822
7.24E-08	1.09E-06	28.99906097	ZNRF1	18	29	22	8	792	288	0.000798744
7.37E-08	1.10E-06	28.96389305	SNRNP35	2	14	22	8	198	72	0.000806413
7.37E-08	1.10E-06	28.96389305	WDHD1	2	14	22	8	198	72	0.000806413
7.37E-08	1.10E-06	28.96389305	MORC3	2	14	22	8	198	72	0.000806413
8.60E-08	1.28E-06	28.66677488	PPP6R3	10	22	22	8	374	136	0.000934028
8.73E-08	1.30E-06	28.63592257	NUP153	2	14	22	8	242	88	0.000945463
9.20E-08	1.36E-06	28.53492465	AGPS	6	18	22	8	220	80	0.000992348
9.30E-08	1.37E-06	28.51484045	LRRC37B	2	14	22	8	264	96	0.000996563
9.30E-08	1.37E-06	28.51484045	RSL1D1	2	14	22	8	264	96	0.000996563
1.01E-07	1.47E-06	28.34863563	MFN1	0	11	22	8	132	48	0.001070203
1.01E-07	1.47E-06	28.34863563	PSMB7	0	11	22	8	132	48	0.001070203
1.01E-07	1.47E-06	28.34863563	SETDB2	0	11	22	8	132	48	0.001070203
1.01E-07	1.47E-06	28.34863563	UBN2	0	11	22	8	132	48	0.001070203
1.01E-07	1.47E-06	28.34863563	RP3-462E2.5	0	11	22	8	132	48	0.001070203
1.02E-07	1.49E-06	28.32662368	BTBD7	2	14	22	8	308	112	0.001072469
1.12E-07	1.62E-06	28.15192819	MYO9B	20	30	22	8	726	264	0.001169398
1.16E-07	1.68E-06	28.0874673	MB21D1	0	11	22	8	154	56	0.001204509
1.20E-07	1.73E-06	28.02350623	TFCP2	3	15	22	8	286	104	0.001240362
1.28E-07	1.84E-06	27.89472734	GGCT	0	11	22	8	176	64	0.001317743
1.28E-07	1.84E-06	27.89472734	ZNF714	0	11	22	8	176	64	0.001317743
1.32E-07	1.88E-06	27.84386837	FNBP1	3	15	22	8	330	120	0.001342849
1.32E-07	1.88E-06	27.84386837	MPPE1	3	15	22	8	330	120	0.001342849
1.38E-07	1.97E-06	27.74893466	NUP160	4	16	22	8	308	112	0.001403207
1.57E-07	2.23E-06	27.50504069	CSNK1A1	7	19	22	8	440	160	0.001585894
1.62E-07	2.29E-06	27.4458411	ZNF292	7	19	22	8	462	168	0.001629156
1.84E-07	2.60E-06	27.19694187	SOAT1	66	57	22	8	638	232	0.001846125
1.95E-07	2.75E-06	27.08406676	MON2	24	32	22	8	550	200	0.001949913
1.97E-07	2.78E-06	27.06020819	ATF7IP2	1	12	22	8	154	56	0.001966864
2.18E-07	3.04E-06	26.86257102	C12orf66	0	10	22	8	66	24	0.0021511
2.18E-07	3.04E-06	26.86983471	CMC1	2	13	22	8	132	48	0.0021511
2.18E-07	3.04E-06	26.86983471	GTF2H3	2	13	22	8	132	48	0.0021511
2.18E-07	3.04E-06	26.86983471	TMEM170A	2	13	22	8	132	48	0.0021511
2.18E-07	3.04E-06	26.86257102	EEF2K	0	10	22	8	66	24	0.0021511
2.26E-07	3.14E-06	26.79704017	SPATA5	7	18	22	8	176	64	0.002204601
2.41E-07	3.35E-06	26.66912125	GPALPP1	1	12	22	8	198	72	0.002346866
2.52E-07	3.49E-06	26.58567806	FAM126B	35	38	22	8	374	136	0.002441486
2.59E-07	3.57E-06	26.53489803	KIAA1147	1	12	22	8	220	80	0.002497356
2.72E-07	3.74E-06	26.43973457	PRSS57	78	1	22	8	924	336	0.002613888
3.33E-07	4.57E-06	26.04855372	RNF145	0	10	22	8	88	32	0.003182068
3.33E-07	4.57E-06	26.04855372	HKR1	0	10	22	8	88	32	0.003182068
3.40E-07	4.65E-06	26.00911472	EWSR1	4	15	22	8	176	64	0.003231271
3.48E-07	4.75E-06	25.96254006	TCF12	23	31	22	8	726	264	0.00329813
3.55E-07	4.83E-06	25.92703349	DMTF1	2	13	22	8	220	80	0.00334714
4.17E-07	5.66E-06	25.61590909	TOP1	2	13	22	8	286	104	0.003918341
4.24E-07	5.72E-06	25.58340097	WEE1	0	10	22	8	110	40	0.003953147
4.24E-07	5.72E-06	25.58340097	NUPL2	0	10	22	8	110	40	0.003953147
4.24E-07	5.72E-06	25.58340097	NUP98	0	10	22	8	110	40	0.003953147
4.60E-07	6.20E-06	25.42458918	EIF4G3	53	50	22	8	1452	528	0.004264383
4.63E-07	6.22E-06	25.41324674	WAC	4	15	22	8	242	88	0.004274003
4.68E-07	6.28E-06	25.39094221	NPIPB5	6	17	22	8	286	104	0.004308067
4.69E-07	6.28E-06	25.38621714	ZNF701	8	19	22	8	418	152	0.004308067
4.85E-07	6.48E-06	25.32325877	SLTM	8	19	22	8	440	160	0.004429724
4.94E-07	6.54E-06	25.2870837	RARS2	3	14	22	8	286	104	0.004469733
4.95E-07	6.54E-06	25.28452062	SND1	4	15	22	8	264	96	0.004469733
4.95E-07	6.54E-06	25.28241979	ACER3	0	10	22	8	132	48	0.004469733
4.95E-07	6.54E-06	25.28241979	UTP6	0	10	22	8	132	48	0.004469733
4.95E-07	6.54E-06	25.28241979	ZBTB24	0	10	22	8	132	48	0.004469733
5.23E-07	6.90E-06	25.17661274	RP11-340I6.8	4	15	22	8	286	104	0.004677254
5.33E-07	7.01E-06	25.14146935	SOS1	150	16	22	8	2200	800	0.004746146
5.38E-07	7.07E-06	25.12218045	ANAPC7	5	16	22	8	308	112	0.004776635
5.52E-07	7.21E-06	25.07173295	NPM1	0	10	22	8	154	56	0.004865071
5.52E-07	7.21E-06	25.07173295	QSER1	0	10	22	8	154	56	0.004865071
5.52E-07	7.21E-06	25.07173295	CCDC43	0	10	22	8	154	56	0.004865071
5.72E-07	7.44E-06	25.00586291	KIAA0391	4	15	22	8	330	120	0.005001239
5.99E-07	7.75E-06	24.91600791	C8orf44-SGK3	0	10	22	8	176	64	0.005199277
5.99E-07	7.75E-06	24.91600791	CNRIP1	0	10	22	8	176	64	0.005199277
5.99E-07	7.75E-06	24.91600791	ZUFSP	0	10	22	8	176	64	0.005199277
6.07E-07	7.83E-06	24.89099474	PPP1R2	5	16	22	8	374	136	0.005232702
6.10E-07	7.85E-06	24.88187799	ARID2	13	23	22	8	528	192	0.005238723
6.12E-07	7.86E-06	24.87299465	CLEC2D	0	9	22	8	44	16	0.005238723
6.12E-07	7.86E-06	24.87299465	GS1-259H13.10	0	9	22	8	44	16	0.005238723
7.99E-07	1.02E-05	24.36054373	PMF1	95	5	22	8	1232	448	0.006792934
8.11E-07	1.03E-05	24.33086445	CHUK	1	11	22	8	132	48	0.006831556
8.11E-07	1.03E-05	24.33086445	ZC3H18	1	11	22	8	132	48	0.006831556
8.11E-07	1.03E-05	24.33086445	NPIPB4	1	11	22	8	132	48	0.006831556
8.11E-07	1.03E-05	24.33086445	CTB-113P19.5	1	11	22	8	132	48	0.006831556
8.81E-07	1.12E-05	24.17292284	CCNI	11	21	22	8	440	160	0.007355552
9.02E-07	1.14E-05	24.12594735	RNF115	106	9	22	8	484	176	0.007510385
9.39E-07	1.19E-05	24.04974871	PAFAH1B2	11	21	22	8	484	176	0.007785771
9.74E-07	1.23E-05	23.97974962	RNF130	56	50	22	8	836	304	0.008045358
1.03E-06	1.30E-05	23.86268211	VEZT	11	21	22	8	572	208	0.008519422
1.11E-06	1.39E-05	23.73263997	NOL9	63	0	22	8	506	184	0.009082553
1.23E-06	1.54E-05	23.52858079	CNPY2	8	18	22	8	286	104	0.010062791
1.25E-06	1.56E-05	23.49116162	TPGS2	0	9	22	8	66	24	0.010162581
1.25E-06	1.56E-05	23.49116162	NKRF	0	9	22	8	66	24	0.010162581
1.25E-06	1.56E-05	23.49776786	OCIAD2	94	6	22	8	638	232	0.010162581
1.25E-06	1.56E-05	23.49116162	LINC00963	0	9	22	8	66	24	0.010162581
1.32E-06	1.63E-05	23.39774164	EIF2S3	2	12	22	8	176	64	0.010560483
1.32E-06	1.63E-05	23.39774164	POLR3E	2	12	22	8	176	64	0.010560483
1.43E-06	1.76E-05	23.23779614	C9orf40	2	12	22	8	198	72	0.011395296
1.43E-06	1.76E-05	23.23779614	RP11-15H20.6	2	12	22	8	198	72	0.011395296
1.65E-06	2.03E-05	22.96718768	GRB2	13	22	22	8	440	160	0.013050835
1.72E-06	2.10E-05	22.88569842	CAPZA2	3	13	22	8	220	80	0.013514405
1.72E-06	2.10E-05	22.88569842	FAM122C	3	13	22	8	220	80	0.013514405
1.72E-06	2.10E-05	22.88569842	STIL	3	13	22	8	220	80	0.013514405
1.75E-06	2.12E-05	22.85626536	EPRS	0	9	22	8	88	32	0.013578573
1.75E-06	2.12E-05	22.85626536	MTO1	0	9	22	8	88	32	0.013578573
1.75E-06	2.12E-05	22.85626536	NEDD8	0	9	22	8	88	32	0.013578573
1.91E-06	2.32E-05	22.67927054	RREB1	6	16	22	8	330	120	0.01476089
1.91E-06	2.32E-05	22.67927054	SLC27A2	6	16	22	8	330	120	0.01476089
1.95E-06	2.35E-05	22.64569257	UBE2G1	5	15	22	8	286	104	0.01494476
2.00E-06	2.41E-05	22.59197823	ZC3HAV1	3	13	22	8	286	104	0.015284679
2.00E-06	2.41E-05	22.59197823	ARFGAP2	3	13	22	8	286	104	0.015284679
2.11E-06	2.52E-05	22.49153772	C12orf75	0	9	22	8	110	40	0.015899911
2.11E-06	2.52E-05	22.49153772	POLD3	0	9	22	8	110	40	0.015899911
2.11E-06	2.52E-05	22.49153772	PPIP5K1	0	9	22	8	110	40	0.015899911
2.11E-06	2.52E-05	22.49153772	ARSD	0	9	22	8	110	40	0.015899911
2.11E-06	2.52E-05	22.49153772	MILR1	0	9	22	8	110	40	0.015899911
2.12E-06	2.52E-05	22.48662808	RBM25	6	16	22	8	396	144	0.015899911
2.22E-06	2.64E-05	22.39152893	POM121	6	16	22	8	440	160	0.016527134
2.39E-06	2.82E-05	22.25478469	GEMIN2	0	9	22	8	132	48	0.017650925
2.39E-06	2.82E-05	22.25478469	TRMT2B	0	9	22	8	132	48	0.017650925
2.56E-06	3.03E-05	22.11834781	RNF168	83	4	22	8	902	328	0.018854284
2.60E-06	3.04E-05	22.08870421	DNASE1	0	9	22	8	154	56	0.018936611
2.60E-06	3.04E-05	22.08870421	IGBP1	0	9	22	8	154	56	0.018936611
2.60E-06	3.04E-05	22.08870421	IPMK	0	9	22	8	154	56	0.018936611
2.60E-06	3.04E-05	22.08870421	DNMBP	0	9	22	8	154	56	0.018936611
2.60E-06	3.04E-05	22.08870421	FKBP11	0	9	22	8	154	56	0.018936611
2.63E-06	3.07E-05	22.06895898	KLF9	1	10	22	8	88	32	0.018942864
2.72E-06	3.17E-05	22.00415303	UBXN2A	83	4	22	8	968	352	0.019524826
2.78E-06	3.22E-05	21.96576151	LRCH1	0	9	22	8	176	64	0.019812498
2.78E-06	3.22E-05	21.96576151	AP1G1	0	9	22	8	176	64	0.019812498
2.80E-06	3.25E-05	21.94607924	TM2D1	27	31	22	8	462	168	0.019914345
2.92E-06	3.37E-05	21.8710815	PSMD4	0	9	22	8	198	72	0.020635679
2.99E-06	3.45E-05	21.82259329	RP11-302B13.5	2	11	22	8	88	32	0.021089857
3.14E-06	3.61E-05	21.73082651	SLC35E2B	72	4	22	8	242	88	0.02204585
3.19E-06	3.66E-05	21.70056045	ARID4B	122	12	22	8	1936	704	0.022318225
3.23E-06	3.70E-05	21.67695246	SPG7	11	20	22	8	572	208	0.022515715
3.82E-06	4.37E-05	21.35073842	MED25	1	10	22	8	132	48	0.026548637
3.82E-06	4.37E-05	21.35073842	ZNF708	1	10	22	8	132	48	0.026548637
3.91E-06	4.46E-05	21.30681818	SPCS3	3	12	22	8	110	40	0.027001802
3.92E-06	4.46E-05	21.30490404	CHEK1	2	11	22	8	110	40	0.027001802
3.95E-06	4.49E-05	21.29038732	PARP4	9	18	22	8	352	128	0.027067362
4.05E-06	4.59E-05	21.24207823	RP11-325F22.2	0	8	22	8	44	16	0.027661408
4.20E-06	4.76E-05	21.17235543	SKP1	26	30	22	8	484	176	0.028586189
4.24E-06	4.79E-05	21.15403983	CCNT1	1	10	22	8	154	56	0.028760095
4.27E-06	4.82E-05	21.13805802	DOCK5	33	34	22	8	418	152	0.028899869
4.33E-06	4.88E-05	21.11201299	H2AFZ	21	0	22	8	22	8	0.029193247
4.57E-06	5.14E-05	21.00887798	MIB1	1	10	22	8	176	64	0.030700298
4.66E-06	5.23E-05	20.97321092	RP11-15H20.7	2	11	22	8	132	48	0.031168231
4.85E-06	5.42E-05	20.89734436	DGCR2	1	10	22	8	198	72	0.032256084
4.85E-06	5.42E-05	20.89734436	EIF3L	1	10	22	8	198	72	0.032256084
5.01E-06	5.59E-05	20.83390095	CHD1	22	27	22	8	374	136	0.033170428
5.07E-06	5.65E-05	20.80896651	ZNF251	1	10	22	8	220	80	0.033427961
5.07E-06	5.65E-05	20.80896651	MYO19	1	10	22	8	220	80	0.033427961
5.25E-06	5.84E-05	20.74254109	RPS29	2	11	22	8	154	56	0.034429032
5.27E-06	5.84E-05	20.73721146	NAE1	1	10	22	8	242	88	0.034429032
5.64E-06	6.24E-05	20.60707301	CFDP1	16	23	22	8	418	152	0.036696359
6.02E-06	6.65E-05	20.48299046	DIAPH1	6	15	22	8	264	96	0.039017567
6.11E-06	6.70E-05	20.45454545	CSE1L	3	12	22	8	176	64	0.039254417
6.10E-06	6.70E-05	20.45560418	MCM4	0	7	22	8	22	8	0.039254417
6.10E-06	6.70E-05	20.45560418	PTER	0	7	22	8	22	8	0.039254417
6.10E-06	6.70E-05	20.45560418	BLCAP	0	7	22	8	22	8	0.039254417
6.14E-06	6.72E-05	20.44276006	CHEK2	2	11	22	8	198	72	0.039254417
6.14E-06	6.72E-05	20.44276006	MDN1	2	11	22	8	198	72	0.039254417
6.37E-06	6.95E-05	20.37395547	TTC17	7	16	22	8	396	144	0.040309513
6.42E-06	6.99E-05	20.35945275	DENND5A	20	26	22	8	770	280	0.040474887
6.54E-06	7.11E-05	20.32316235	GABPB1	34	35	22	8	924	336	0.041106359
6.77E-06	7.35E-05	20.25646081	TRIM5	2	11	22	8	242	88	0.042416637
6.80E-06	7.37E-05	20.24790647	RNF220	246	44	22	8	3476	1264	0.042458521
6.95E-06	7.47E-05	20.20744106	ATAD2	22	27	22	8	528	192	0.042950807
6.95E-06	7.47E-05	20.2058793	ZNF710	0	8	22	8	66	24	0.042950807
6.95E-06	7.47E-05	20.2058793	ZNF418	0	8	22	8	66	24	0.042950807
6.95E-06	7.47E-05	20.2058793	ZNF701	0	8	22	8	66	24	0.042950807
6.95E-06	7.47E-05	20.2058793	ZNF765	0	8	22	8	66	24	0.042950807
7.39E-06	7.93E-05	20.08928571	IMMP2L	3	12	22	8	242	88	0.045175114
7.44E-06	7.97E-05	20.07548143	CTD-2020K17.1	12	20	22	8	550	200	0.045344087
7.59E-06	8.12E-05	20.03745654	JMJD1C	4	13	22	8	264	96	0.046093805
7.70E-06	8.22E-05	20.00988142	PCBP2	3	12	22	8	264	96	0.046600623
7.90E-06	8.42E-05	19.9613536	UBN1	4	13	22	8	286	104	0.047632157
7.98E-06	8.47E-05	19.94318182	ZNF367	3	12	22	8	286	104	0.047837668
7.98E-06	8.47E-05	19.94318182	RP5-1103G7.4	3	12	22	8	286	104	0.047837668
8.17E-06	8.65E-05	19.89658112	CTCF	4	13	22	8	308	112	0.048677795
8.17E-06	8.65E-05	19.89658112	TMEM67	4	13	22	8	308	112	0.048677795
8.22E-06	8.68E-05	19.88636364	C16orf70	3	12	22	8	308	112	0.04868173
8.94E-06	9.36E-05	19.72478693	FDX1	0	8	22	8	88	32	0.052434806
8.94E-06	9.36E-05	19.72478693	IDH3A	0	8	22	8	88	32	0.052434806
8.94E-06	9.36E-05	19.72478693	NDC80	0	8	22	8	88	32	0.052434806
8.94E-06	9.36E-05	19.72478693	LDHA	0	8	22	8	88	32	0.052434806
8.94E-06	9.36E-05	19.72478693	HAUS2	0	8	22	8	88	32	0.052434806
8.99E-06	9.40E-05	19.71457682	USP4	59	49	22	8	1166	424	0.052434806
1.03E-05	0.000107382	19.44697303	DDX55	0	8	22	8	110	40	0.059489508
1.03E-05	0.000107382	19.44697303	PGAP2	0	8	22	8	110	40	0.059489508
1.03E-05	0.000107382	19.44697303	CENPN	0	8	22	8	110	40	0.059489508
1.03E-05	0.000107382	19.44697303	MRPS16	0	8	22	8	110	40	0.059489508
1.05E-05	0.000109286	19.41019845	PCMTD1	14	21	22	8	418	152	0.060107505
1.06E-05	0.000109387	19.4052448	C2orf68	57	1	22	8	374	136	0.060107505
1.09E-05	0.000112117	19.35499581	CALN1	97	8	22	8	1782	648	0.061439885
1.12E-05	0.000115805	19.29001146	RP11-162A12.2	14	21	22	8	462	168	0.06334528
1.14E-05	0.000117071	19.26607096	APOL1	0	8	22	8	132	48	0.063920948
1.14E-05	0.000117387	19.25775367	NDUFA12	2	9	22	8	22	8	0.063976167
1.22E-05	0.000124722	19.13890217	ZNF701	0	8	22	8	154	56	0.067848523
1.28E-05	0.000130821	19.04462187	KRIT1	0	8	22	8	176	64	0.071035795
1.45E-05	0.000147983	18.80630085	RAB10	119	79	22	8	1562	568	0.080206906
1.53E-05	0.000155857	18.7042957	MBTD1	23	27	22	8	704	256	0.084318617
1.53E-05	0.000156307	18.69565298	KANSL1	7	15	22	8	220	80	0.084406046
1.58E-05	0.000160381	18.64346591	PSMB2	1	9	22	8	110	40	0.086445389
1.59E-05	0.000161056	18.63233047	ATR	13	20	22	8	506	184	0.086648167
1.68E-05	0.000170108	18.52496764	SOS2	13	20	22	8	572	208	0.09134818
1.74E-05	0.000176433	18.45227762	NDUFAF6	7	15	22	8	264	96	0.094568008
1.77E-05	0.000178475	18.4268291	ITGA9	57	1	22	8	638	232	0.095484061
1.77E-05	0.000178475	18.42413102	CTA-211A9.5	1	9	22	8	132	48	0.095484061
1.84E-05	0.00018594	18.34295539	PDE7A	8	16	22	8	462	168	0.099105976
1.90E-05	0.000191646	18.28228176	YWHAZ	7	15	22	8	308	112	0.101955411
1.92E-05	0.000192201	18.27059659	BPTF	1	9	22	8	154	56	0.102058569
1.92E-05	0.000192201	18.27059659	TTI1	1	9	22	8	154	56	0.102058569
1.96E-05	0.000196425	18.2261048	SMARCC1	115	77	22	8	2178	792	0.103908887
